,Algorithm,u,n,d,rho,mean,cov,r,run,error
135,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,33,0.23066170077012874
136,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,34,0.4815808760398416
137,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,34,0.39227143085577193
138,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,34,0.4333653028271316
139,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,34,0.23286980812532695
140,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,35,0.44399320165912765
141,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,35,0.43463656085665997
142,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,35,0.43273225768502854
143,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,35,0.23342515970685815
144,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,36,0.4650210697288125
145,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,36,0.3967681302613751
146,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,36,0.41811362606644525
147,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,36,0.21705112701554574
148,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,37,0.46446469638463217
149,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,37,0.388312310937239
