,Algorithm,u,n,d,rho,mean,cov,r,run,error
194,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,48,0.0812893559271041
195,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,48,0.06824424638573637
196,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,49,0.07216318867616757
197,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,49,0.08103089726508327
198,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,49,0.06746054152704048
199,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,49,0.05945377355637364
0,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.25,0,STRATEGY_UNIFORM,0,0,0.07668712650200557
1,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.25,0,STRATEGY_UNIFORM,0,0,0.08618675939147123
2,Instance optimal,"(-100.0, 100.0)",4000,16,0.25,0,STRATEGY_UNIFORM,0,0,0.0802525926752284
3,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.25,0,STRATEGY_UNIFORM,0,0,0.07652967606908515
4,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.25,0,STRATEGY_UNIFORM,0,1,0.04840612431501356
5,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.25,0,STRATEGY_UNIFORM,0,1,0.05598778064663316
6,Instance optimal,"(-100.0, 100.0)",4000,16,0.25,0,STRATEGY_UNIFORM,0,1,0.04697410309676902
7,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.25,0,STRATEGY_UNIFORM,0,1,0.04932181390654656
8,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.25,0,STRATEGY_UNIFORM,0,2,0.06591165093315912
9,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.25,0,STRATEGY_UNIFORM,0,2,0.06703964017816512
10,Instance optimal,"(-100.0, 100.0)",4000,16,0.25,0,STRATEGY_UNIFORM,0,2,0.052807697037919626
11,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.25,0,STRATEGY_UNIFORM,0,2,0.04984637748905319
12,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.25,0,STRATEGY_UNIFORM,0,3,0.07561153651823385
13,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.25,0,STRATEGY_UNIFORM,0,3,0.08599619597982719
