,Algorithm,u,n,d,rho,mean,cov,r,run,error
105,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,26,0.19179326798220067
106,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,26,0.14553272640125284
107,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,26,0.10281704198158298
108,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,27,0.10150923923999797
109,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,27,0.18209176819130105
110,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,27,0.1314909943257205
111,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,27,0.11752117372827496
112,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,28,0.14831530118794087
113,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,28,0.15195894684799138
114,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,28,0.15729957508017892
115,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,28,0.13097219682989458
116,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,29,0.2443673673522948
117,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,29,0.39275380271779536
118,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,29,0.28650046273502955
119,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,29,0.27184995716718646
120,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,30,0.32413113077424444
121,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,30,0.1888519185578155
122,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,30,0.28862465585439506
123,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,30,0.25357995029625907
124,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,31,0.12036393927772673
125,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,31,0.16970561965778413
126,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,31,0.10798418823659495
127,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,31,0.09481564183050209
128,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,32,0.08472108543993606
129,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,32,0.19710218214505618
130,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,32,0.09856121543709315
131,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,32,0.06214028267120094
132,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,33,0.17452701162924278
133,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,33,0.26373594836851494
134,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,33,0.18043692719471036
135,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,33,0.1837238196917089
136,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,34,0.1258533661848536
137,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,34,0.2287419585341081
138,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,34,0.13291195476056814
139,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,34,0.10510809603876153
140,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,35,0.1851962014640577
